,metric,method,truncation_mode,level,k,silhouette,DBscore
308,correlation,average,level,3,9,0.2976597221436695,1.3421313045258394
309,correlation,average,level,3,10,0.29429351772951823,1.2640193644468498
310,correlation,average,level,4,6,0.15705473170842382,1.3474484930025457
311,correlation,average,level,4,7,0.1512647273022391,1.3560165185044772
312,correlation,average,level,4,8,0.14658294616991885,1.3665249338863057
313,correlation,average,level,4,9,0.2976597221436695,1.3421313045258394
314,correlation,average,level,4,10,0.29429351772951823,1.2640193644468498
315,correlation,weighted,,2,6,0.1469023540824834,1.2830950323034058
316,correlation,weighted,,2,7,0.10929216862895254,1.2737904052431406
317,correlation,weighted,,2,8,0.10870199676194058,1.1650810645836378
318,correlation,weighted,,2,9,0.10572333394556435,1.263413656763709
319,correlation,weighted,,2,10,0.10168376347763751,1.286776957503225
320,correlation,weighted,,3,6,0.1469023540824834,1.2830950323034058
321,correlation,weighted,,3,7,0.10929216862895254,1.2737904052431406
322,correlation,weighted,,3,8,0.10870199676194058,1.1650810645836378
323,correlation,weighted,,3,9,0.10572333394556435,1.263413656763709
324,correlation,weighted,,3,10,0.10168376347763751,1.286776957503225
325,correlation,weighted,,4,6,0.1469023540824834,1.2830950323034058
326,correlation,weighted,,4,7,0.10929216862895254,1.2737904052431406
327,correlation,weighted,,4,8,0.10870199676194058,1.1650810645836378
328,correlation,weighted,,4,9,0.10572333394556435,1.263413656763709
329,correlation,weighted,,4,10,0.10168376347763751,1.286776957503225
330,correlation,weighted,lastp,2,6,0.1469023540824834,1.2830950323034058
331,correlation,weighted,lastp,2,7,0.10929216862895254,1.2737904052431406
332,correlation,weighted,lastp,2,8,0.10870199676194058,1.1650810645836378
333,correlation,weighted,lastp,2,9,0.10572333394556435,1.263413656763709
334,correlation,weighted,lastp,2,10,0.10168376347763751,1.286776957503225
335,correlation,weighted,lastp,3,6,0.1469023540824834,1.2830950323034058
336,correlation,weighted,lastp,3,7,0.10929216862895254,1.2737904052431406
337,correlation,weighted,lastp,3,8,0.10870199676194058,1.1650810645836378
338,correlation,weighted,lastp,3,9,0.10572333394556435,1.263413656763709
339,correlation,weighted,lastp,3,10,0.10168376347763751,1.286776957503225
340,correlation,weighted,lastp,4,6,0.1469023540824834,1.2830950323034058
341,correlation,weighted,lastp,4,7,0.10929216862895254,1.2737904052431406
342,correlation,weighted,lastp,4,8,0.10870199676194058,1.1650810645836378
343,correlation,weighted,lastp,4,9,0.10572333394556435,1.263413656763709
344,correlation,weighted,lastp,4,10,0.10168376347763751,1.286776957503225
345,correlation,weighted,level,2,6,0.1469023540824834,1.2830950323034058
346,correlation,weighted,level,2,7,0.10929216862895254,1.2737904052431406
347,correlation,weighted,level,2,8,0.10870199676194058,1.1650810645836378
348,correlation,weighted,level,2,9,0.10572333394556435,1.263413656763709
349,correlation,weighted,level,2,10,0.10168376347763751,1.286776957503225
350,correlation,weighted,level,3,6,0.1469023540824834,1.2830950323034058
351,correlation,weighted,level,3,7,0.10929216862895254,1.2737904052431406
352,correlation,weighted,level,3,8,0.10870199676194058,1.1650810645836378
353,correlation,weighted,level,3,9,0.10572333394556435,1.263413656763709
